SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,326 Madrid St,San Francisco,CA,94112,699000,2,1.0,San Francisco,,2500,1907,7,,,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/326-Madrid-St-94112/home/1835789,San Francisco MLS,421579147,N,Y,37.7243721,-122.4309867
MLS Listing,,Single Family Residential,1346 Eddy St,San Francisco,CA,94115,1599000,3,2.0,San Francisco,,,2007,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/1346-Eddy-St-94115/home/17305978,San Francisco MLS,421572672,N,Y,37.7818688,-122.4298723
MLS Listing,,Single Family Residential,1997 Alemany Blvd,San Francisco,CA,94112,999999,4,3.0,San Francisco,1484,2556,1957,7,674,,Active,August-12-2021 05:00 PM,August-12-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/1997-Alemany-Blvd-94112/home/1363670,BAREIS,421580422,N,Y,37.7201018,-122.4392703
MLS Listing,,Single Family Residential,2531 Larkin St,San Francisco,CA,94109,6295000,4,5.0,San Francisco,3877,2648,1900,7,1624,,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2531-Larkin-St-94109/home/1947792,San Francisco MLS,421581726,N,Y,37.8012913,-122.4214615
MLS Listing,,Vacant Land,1326 Stanyan St,San Francisco,CA,94114,499000,0,,San Francisco,,2796,,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/1326-Stanyan-St-94114/home/110056909,San Francisco MLS,421578867,N,Y,37.759108,-122.451162
MLS Listing,,Single Family Residential,1758 18th Ave,San Francisco,CA,94122,1795000,4,4.0,San Francisco,2398,2996,1937,7,749,,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1758-18th-Ave-94122/home/1173949,San Francisco MLS,421581711,N,Y,37.7550607,-122.4751729
MLS Listing,,Single Family Residential,177 Belgrave Ave,San Francisco,CA,94117,2995000,3,2.0,San Francisco,1920,6059,1973,7,1560,,Active,August-15-2021 11:00 AM,August-15-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/177-Belgrave-Ave-94117/home/1574519,San Francisco MLS,421578537,N,Y,37.7592887,-122.4510807
MLS Listing,,Multi-Family (2-4 Unit),4145 - 4151 Lawton St,San Francisco,CA,94122,1695000,4,4.0,San Francisco,3097,4499,1954,7,547,,Active,,,http://www.redfin.com/CA/San-Francisco/4145-Lawton-St-94122/home/1279519,San Francisco MLS,421580768,N,Y,37.7564528,-122.5074654
MLS Listing,,Condo/Co-op,445 Baker St Unit A,San Francisco,CA,94117,1175000,2,1.0,San Francisco,1106,2500,1900,7,1062,320,Active,August-12-2021 06:00 PM,August-12-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/445-Baker-St-94117/unit-A/home/2015877,San Francisco MLS,421577874,N,Y,37.775165,-122.441582
MLS Listing,,Single Family Residential,29 Harold Ave,San Francisco,CA,94112,1195000,2,1.5,San Francisco,1622,2809,1910,7,737,,Active,August-15-2021 11:00 AM,August-15-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/29-Harold-Ave-94112/home/1512065,San Francisco MLS,421579606,N,Y,37.7192575,-122.4533033
